Collection / subset,MiAIRR field designation,Data type,Content type,Field value (example),AIRR Formats WG designation
3 / process (nucl. acid),Total reads passing QC filter,Unsigned integer,Number of usable reads for analysis,10,total_reads_passing_qc_filter
3 / process (nucl. acid),Protocol IDs,String,UID either assigned by submitter,4501uggt,protocol
3 / process (nucl. acid),Sequencing Platform,String,Free text,Alumina,platform
3 / process (nucl. acid),Read lengths,Unsigned integer,Number of base pairs and directions,180,read_length
3 / process (nucl. acid),Sequencing Facility,String,Free text,ABC Lab,sequencing_facility
3 / process (nucl. acid),Batch number,String,UID either assigned by submitter,BAT84562,batch_number
3 / process (nucl. acid),Date of sequencing run,String,ISO8601-compliant date,2016-12-16,sequencing_run_date
3 / process (nucl. acid),Sequencing kit,String,Free text,"Manufacturer, Catalog Number, Lot number",sequencing_kit
4 / data (raw reads),Raw sequence data,Blob,FASTQ sequences,,
5 / process (comput.),Software tools and version numbers,String,Free text,"version number and / or date, include company pipelines",software_versions
5 / process (comput.),Paired read assembly,String,Free text,How paired end reads were assembled into a single receptor sequence,paired_reads_assembly
5 / process (comput.),Quality thresholds,String,Free text,How sequences were removed from (4) based on base quality scores,quality_thresholds
5 / process (comput.),Primer match cutoffs,String,Free text,"How primers were identified in the sequences, were they removed/masked/etc?",primer_match_cutoffs
5 / process (comput.),Collapsing method,String,Free text,The method used for combining multiple sequences from (4) into a single sequence in (5),collapsing_method
5 / process (comput.),Data processing protocols,String,Free text,General description of how QC is performed,data_processing_protocols
6 / data (proc. seq.),V(D)J germline reference database,String,Free text,"Source of germline V(D)J segments, with version number or date accessed",
6 / data (proc. seq.),Cell Index,Unsigned integer,index,UID linking sequences from the same cell,
6 / data (proc. seq.),V gene,String,Free text,V gene with allele,v_allele
6 / data (proc. seq.),D gene,String,Free text,D gene with allele,d_allele
6 / data (proc. seq.),J gene,String,Free text,J gene with allele,j_allele
6 / data (proc. seq.),C region,String,Free text,C region with allele,c_allele
6 / data (proc. seq.),JUNCTION nucleotide sequence,String,Free text,Sequence of the CDR3 region (nucleotide),junction_nt
6 / data (proc. seq.),JUNCTION amino acid sequence,String,Free text,Sequence of the CDR3 region (amino acid),junction_aa
6 / data (proc. seq.),read count,Unsigned integer,number,Number of reads of the sequence,
